Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
The Hundred Years' War on Palestine,Rashid Khalidi,"",9781627798556,hardcover,read,2024/05/30,2024/05/05,2024/01/04-2024/05/05,1,"",,,,,,,,,"",,"",No
A Game of Thrones,George R.R. Martin,"",9780553588484,paperback,read,2023/06/02,"","",1,"",,"","","","","",4.5,,"","","",No
Do Better: Spiritual Activism for Fighting and Healing From White Supremacy,Rachel Ricketts,"",9781982151270,hardcover,to-read,2023/06/07,"","",0,"",,,,,,,,,"",,"",No
We Are the Ants,Shaun David Hutchinson,"",9781481449632,hardcover,to-read,2023/06/02,"","",0,"",,,,,,,,,"",,"",No
Mockingjay,Suzanne Collins,"",9780439023511,hardcover,read,2023/06/05,2025/01,2025/01-2025/01,1,"",,"","","","","",3.5,,"","","",No
Parable of the Sower,Octavia E. Butler,"",9780446675505,paperback,to-read,2023/06/07,"","",0,"",,,,,,,,,"",,"",No
Finding Our Niche: Toward a Restorative Human Ecology,Philip A. Loring,"",9781773632872,paperback,read,2023/06/03,"","",1,"",,,,,,,5.0,,"",,"",No
Oathbringer,Brandon Sanderson,"",9780765326379,hardcover,read,2025/03/28,2025/06/25,2025/05/24-2025/06/25,1,"adventurous, emotional, inspiring",fast,A mix,"","","","",5.0,"","","","",No
The Story of a New Name,Elena Ferrante,Ann Goldstein (Translator),9781609451349,paperback,to-read,2024/05/30,"","",0,"",,,,,,,,,"",,"",No
"Edible Forest Gardens, Volume II: Ecological Design and Practice for Temperate-Climate Permaculture","Eric Toensmeier, Dave Jacke","",9781931498807,hardcover,read,2023/06/03,"","",1,"",,,,,,,5.0,,"",,"",No
The Fury of the Gods,John Gwynne,"",B0CTZDCKX6,digital,to-read,2025/02/26,"","",0,"",,,,,,,,,"",,"",No
How to Be Perfect: The Correct Answer to Every Moral Question,Michael Schur,"",9781982159313,hardcover,to-read,2023/06/12,"","",0,"",,,,,,,,,"",,"",No
Zami: A New Spelling of My Name,Audre Lorde,"",9780307780812,digital,to-read,2023/06/02,"","",0,"",,,,,,,,,"",,"",No
The Velvet Rage: Overcoming the Pain of Growing Up Gay in a Straight Man's World,Alan Downs,"",9780738215853,digital,read,2023/06/02,"","",1,"",,,,,,,4.0,,"",,"",No
